Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
Afghanistan,South Asia,4.402,7.540,0.552,51.200,0.679,0.190,0.850
Albania,Central and Eastern Europe,5.485,9.262,0.833,66.200,0.525,-0.158,0.864
Argentina,Latin America and Caribbean,6.424,9.977,0.919,67.180,0.637,-0.130,0.885
Armenia,Commonwealth of Independent States,4.178,9.111,0.680,65.100,0.441,-0.214,0.882
Azerbaijan,Commonwealth of Independent States,4.574,9.534,0.736,63.020,0.498,-0.087,0.754
Bahrain,Middle East and North Africa,5.701,10.709,0.904,65.940,0.896,0.037,0.506
Bangladesh,South Asia,5.083,7.924,0.528,60.280,0.631,-0.075,0.776
Belarus,Commonwealth of Independent States,5.564,9.681,0.908,62.000,0.679,-0.203,0.676
Bolivia,Latin America and Caribbean,6.086,8.773,0.831,60.500,0.779,-0.036,0.763
Bosnia and Herzegovina,Central and Eastern Europe,4.963,9.296,0.735,66.480,0.258,-0.026,0.959
Brazil,Latin America and Caribbean,7.001,9.544,0.913,64.260,0.767,-0.055,0.723
Burundi,Sub-Saharan Africa,3.792,6.723,0.326,49.660,0.427,-0.019,0.718
Cambodia,Southeast Asia,4.111,7.865,0.818,57.700,0.937,0.152,0.965
Cameroon,Sub-Saharan Africa,4.741,8.029,0.729,47.720,0.698,-0.017,0.925
Canada,North America and ANZ,7.488,10.697,0.943,72.020,0.915,0.246,0.413
Chad,Sub-Saharan Africa,3.639,7.364,0.646,44.620,0.401,0.021,0.931
Chile,Latin America and Caribbean,6.494,9.885,0.832,68.840,0.747,0.149,0.734
China,East Asia,4.454,8.996,0.798,67.420,0.771,-0.160,
Colombia,Latin America and Caribbean,6.272,9.351,0.886,65.580,0.757,-0.055,0.837
Comoros,Sub-Saharan Africa,3.476,7.952,0.629,54.360,0.508,-0.074,0.838
Congo (Kinshasa),Sub-Saharan Africa,3.984,6.728,0.733,49.340,0.556,-0.022,0.824
Costa Rica,Latin America and Caribbean,7.615,9.639,0.900,69.760,0.886,0.065,0.787
Croatia,Central and Eastern Europe,5.433,10.104,0.861,67.640,0.549,-0.271,0.958
Cyprus,Western Europe,6.833,10.558,0.812,72.160,0.775,0.054,0.801
Denmark,Western Europe,7.683,10.824,0.939,70.240,0.949,0.264,0.206
Djibouti,Sub-Saharan Africa,4.906,7.927,0.901,53.780,0.649,0.005,0.634
Dominican Republic,Latin America and Caribbean,5.432,9.388,0.878,63.520,0.863,-0.053,0.806
Ecuador,Latin America and Caribbean,6.022,9.225,0.779,66.620,0.737,-0.108,0.774
Egypt,Middle East and North Africa,5.066,9.213,0.744,59.940,0.611,-0.100,0.801
El Salvador,Latin America and Caribbean,6.839,8.883,0.734,63.880,0.671,-0.103,0.648
Estonia,Central and Eastern Europe,5.138,10.144,0.874,66.240,0.611,-0.230,0.793
France,Western Europe,6.283,10.639,0.918,72.020,0.798,-0.082,0.654
Georgia,Commonwealth of Independent States,3.801,9.116,0.544,64.880,0.495,-0.233,0.535
Germany,Western Europe,6.641,10.714,0.935,70.760,0.844,0.127,0.690
Ghana,Sub-Saharan Africa,4.198,8.174,0.633,53.660,0.757,0.005,0.890
Greece,Western Europe,6.039,10.491,0.793,71.300,0.443,-0.293,0.959
Guatemala,Latin America and Caribbean,6.452,8.891,0.834,61.760,0.643,0.197,0.755
Honduras,Latin America and Caribbean,6.033,8.474,0.824,65.260,0.661,0.119,0.857
Hong Kong S.A.R. of China,Eastern Asia,5.397,10.788,0.835,,0.918,0.308,0.272
Hungary,Central and Eastern Europe,4.895,10.097,0.901,65.400,0.464,-0.125,0.915
India,South Asia,4.522,8.281,0.653,56.980,0.679,-0.026,0.895
Indonesia,Southeast Asia,5.472,8.975,0.779,60.260,0.784,0.191,0.911
Iraq,Middle East and North Africa,4.775,9.076,0.862,58.960,0.431,-0.199,0.854
Ireland,Western Europe,7.046,10.866,0.959,71.160,0.835,0.315,0.580
Israel,Middle East and North Africa,7.353,10.425,0.937,72.080,0.593,0.172,0.923
Italy,Western Europe,6.334,10.652,0.880,72.620,0.701,0.240,0.890
Ivory Coast,Sub-Saharan Africa,4.197,8.209,0.667,45.780,0.760,-0.153,0.902
Japan,East Asia,5.845,10.491,0.888,73.680,0.730,-0.210,0.740
Jordan,Middle East and North Africa,6.000,9.347,0.899,64.460,0.771,-0.075,0.739
Kazakhstan,Commonwealth of Independent States,5.383,9.884,0.893,59.700,0.856,-0.249,0.845
Kenya,Sub-Saharan Africa,4.270,8.057,0.789,54.180,0.584,0.100,0.913
Kosovo,Central and Eastern Europe,5.891,9.008,0.830,,0.506,0.201,0.968
Kuwait,Middle East and North Africa,6.585,11.065,0.926,64.440,0.819,0.007,0.675
Kyrgyzstan,Commonwealth of Independent States,5.069,8.345,0.855,60.820,0.699,-0.140,0.896
Latvia,Central and Eastern Europe,4.669,9.975,0.807,64.240,0.437,-0.180,0.942
Lebanon,Middle East and North Africa,5.206,9.830,0.736,65.080,0.665,0.071,0.937
Lithuania,Central and Eastern Europe,5.467,10.050,0.933,64.160,0.496,-0.303,0.979
Luxembourg,Western Europe,6.958,11.562,0.939,71.440,0.939,0.127,0.432
Malawi,Sub-Saharan Africa,5.148,6.838,0.718,49.020,0.879,0.176,0.689
Malaysia,Southeast Asia,5.385,9.875,0.792,65.440,0.874,-0.009,0.858
Mali,Sub-Saharan Africa,3.977,7.622,0.733,47.780,0.634,0.008,0.819
Malta,Western Europe,6.328,10.331,0.916,71.380,0.803,0.464,
Mauritania,Sub-Saharan Africa,4.500,8.473,0.819,54.220,0.735,0.039,0.848
Mexico,Latin America and Caribbean,6.963,9.752,0.868,66.440,0.682,-0.076,0.764
Moldova,Commonwealth of Independent States,5.554,8.984,0.856,61.120,0.551,-0.099,0.925
Montenegro,Central and Eastern Europe,4.801,9.699,0.816,66.800,0.556,-0.101,0.838
Nepal,South Asia,4.917,7.723,0.813,58.700,0.616,0.044,0.950
Nicaragua,Latin America and Caribbean,5.353,8.407,0.835,65.160,0.746,0.070,0.794
Niger,Sub-Saharan Africa,4.267,6.898,0.771,48.640,0.880,-0.009,0.483
Nigeria,Sub-Saharan Africa,4.980,8.453,0.722,45.680,0.537,0.067,0.913
North Macedonia,Central and Eastern Europe,4.428,9.464,0.734,64.349,0.552,-0.042,0.844
Pakistan,South Asia,5.208,8.277,0.522,55.800,0.388,0.077,0.874
Palestinian Territories,Middle East and North Africa,4.470,8.329,0.738,62.132,0.468,-0.085,0.797
Panama,Latin America and Caribbean,7.034,9.930,0.905,68.200,0.721,0.014,0.889
Paraguay,Latin America and Caribbean,5.576,9.158,0.900,64.280,0.718,0.027,0.857
Peru,Latin America and Caribbean,5.519,9.145,0.799,66.060,0.638,-0.079,0.880
Philippines,Southeast Asia,4.880,8.632,0.775,60.400,0.874,0.004,0.805
Poland,Central and Eastern Europe,5.772,10.047,0.917,67.100,0.821,0.073,0.898
Qatar,Middle East and Northern Africa,6.418,11.456,0.894,66.580,0.865,0.235,0.184
Romania,Central and Eastern Europe,5.368,9.949,0.812,64.960,0.606,-0.196,0.967
